Harmonized Name,Harmonized ID (Pubchem ID),Database,Name in Database,Source for Clinical Information,Clinical Phase,MOA,Targets
unnamed_33426,6413422,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33427,6413455,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33428,6414927,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33429,6415265,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33430,6415301,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33431,6416023,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33432,6418039,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33433,6418506,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33434,6418539,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33435,6418605,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33436,6418734,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33437,6419839,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33438,6419840,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33439,6419841,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33440,6419846,NCI60,-,#N/A,,#N/A,#N/A
Carboxyphthalatoplatinum,6419850,NCI60,Carboxyphthalatoplatinum,#N/A,,#N/A,#N/A
unnamed_33441,6419861,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33442,6421772,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33443,6432192,NCI60,-,#N/A,,#N/A,#N/A
genacryl pink g,6433371,NCI60,genacryl pink g,#N/A,,#N/A,#N/A
monopar,6433387,NCI60,monopar,#N/A,,#N/A,#N/A
wln: t b566 ck esj c1 d1u1r dn1&1 &i,6433478,NCI60,wln: t b566 ck esj c1 d1u1r dn1&1 &i,#N/A,,#N/A,#N/A
unnamed_33444,6435675,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33445,6436750,NCI60,-,#N/A,,#N/A,#N/A
sibiromycin,6437361,NCI60,sibiromycin,#N/A,,#N/A,#N/A
af 012,6438415,NCI60,af 012,#N/A,,#N/A,#N/A
af 015,6438416,NCI60,af 015,#N/A,,#N/A,#N/A
af 013,6438418,NCI60,af 013,#N/A,,#N/A,#N/A
aplyronine a,6441264,NCI60,aplyronine a,#N/A,,#N/A,#N/A
superstolide b,6442266,NCI60,superstolide b,#N/A,,#N/A,#N/A
alyssonoside,6444250,NCI60,alyssonoside,#N/A,,#N/A,#N/A
unnamed_33446,6446686,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33447,6448044,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33448,6449193,NCI60,-,#N/A,,#N/A,#N/A
hygrophylline,6449975,NCI60,hygrophylline,#N/A,,#N/A,#N/A
stellettamide b,6450176,NCI60,stellettamide b,#N/A,,#N/A,#N/A
azalomycin f,6450216,NCI60,azalomycin f,#N/A,,#N/A,#N/A
rubiflavin,6450217,NCI60,rubiflavin,#N/A,,#N/A,#N/A
unnamed_33449,6450882,NCI60,-,#N/A,,#N/A,#N/A
bruceoside-f,6451123,NCI60,bruceoside-f,#N/A,,#N/A,#N/A
botric acid,6452749,NCI60,botric acid,#N/A,,#N/A,#N/A
ink blue pp,6473722,NCI60,ink blue pp,#N/A,,#N/A,#N/A
unnamed_33450,6474137,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33451,6474139,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33452,6474140,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33453,6474143,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33454,6474146,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33455,6474329,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33456,6474389,NCI60,-,#N/A,,#N/A,#N/A
"tetrocarcin a, sodium salt",6474412,NCI60,"tetrocarcin a, sodium salt",#N/A,,#N/A,#N/A
unnamed_33457,6474473,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33458,6474476,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33459,6474488,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33460,6474489,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33461,6474493,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33462,6474494,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33463,6474495,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33464,6474496,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33465,6474497,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33466,6474626,NCI60,-,#N/A,,#N/A,#N/A
formamicin,6474935,NCI60,formamicin,#N/A,,#N/A,#N/A
unnamed_33467,6475176,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33468,6475263,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33469,6475305,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33470,6475307,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33471,6475312,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33472,6475382,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33473,6475565,NCI60,-,#N/A,,#N/A,#N/A
iso-acteoside,6476333,NCI60,iso-acteoside,#N/A,,#N/A,#N/A
unnamed_33474,6477008,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33475,6477033,NCI60,-,#N/A,,#N/A,#N/A
saponaceolide a,6477038,NCI60,saponaceolide a,#N/A,,#N/A,#N/A
unnamed_33476,6477069,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33477,6477071,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33478,6477085,NCI60,-,#N/A,,#N/A,#N/A
phytochrom chromophore,6477105,NCI60,phytochrom chromophore,#N/A,,#N/A,#N/A
unnamed_33479,6477126,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33480,6477127,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33481,6477146,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33482,6477147,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33483,6477148,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33484,6477149,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33485,6477176,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33486,6477309,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33487,6477321,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33488,6477334,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33489,6477335,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33490,6477336,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33491,6477343,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33492,6477344,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33493,6477345,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33494,6477346,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33495,6477347,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33496,6477348,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33497,6477355,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33498,6477364,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33499,6477374,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33500,6477375,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33501,6477378,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33502,6477379,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33503,6477384,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33504,6477385,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33505,6477387,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33506,6477390,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33507,6477394,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33508,6477396,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33509,6477397,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33510,6477401,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33511,6477402,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33512,6477427,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33513,6477428,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33514,6477429,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33515,6477436,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33516,6477439,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33517,6477449,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33518,6477458,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33519,6477462,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33520,6477475,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33521,6477476,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33522,6477478,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33523,6477486,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33524,6477487,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33525,6477493,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33526,6477494,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33527,6477499,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33528,6477500,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33529,6477501,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33530,6477502,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33531,6477503,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33532,6477504,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33533,6477505,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33534,6477506,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33535,6477507,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33536,6477509,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33537,6477511,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33538,6477512,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33539,6477525,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33540,6477526,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33541,6477534,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33542,6477536,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33543,6477537,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33544,6477538,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33545,6477539,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33546,6477540,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33547,6477541,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33548,6477542,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33549,6477543,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33550,6477544,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33551,6477546,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33552,6477547,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33553,6477564,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33554,6477565,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33555,6477566,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33556,6477567,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33557,6477568,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33558,6477574,NCI60,-,#N/A,,#N/A,#N/A
"fredericamycin, potassium salt",6477723,NCI60,"fredericamycin, potassium salt",#N/A,,#N/A,#N/A
unnamed_33559,6477907,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33560,6477908,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33561,6477989,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33562,6477990,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33563,6477994,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33564,6477995,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33565,6478023,NCI60,-,#N/A,,#N/A,#N/A
3-phenyl(imidazolidinil-1)methano,6482345,NCI60,3-phenyl(imidazolidinil-1)methano,#N/A,,#N/A,#N/A
3-[4-methoxyphenyl(imidazolidinil-1)]methane,6482347,NCI60,3-[4-methoxyphenyl(imidazolidinil-1)]methane,#N/A,,#N/A,#N/A
unnamed_33566,6485117,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33567,6508176,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33568,6508442,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33569,6508446,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33570,6508496,NCI60,-,#N/A,,#N/A,#N/A
".beta.-resorcylaldehyde, 2-pyridylhydrazone",6508583,NCI60,".beta.-resorcylaldehyde, 2-pyridylhydrazone",#N/A,,#N/A,#N/A
unnamed_33571,6508584,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33572,6509056,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33573,6509287,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33574,6509763,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33575,6509769,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33576,6509771,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33577,6509922,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33578,6510977,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33579,6512032,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33580,6512080,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33581,6513462,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33582,6514861,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33583,6514881,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33584,6514962,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33585,6515042,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33586,6516123,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33587,6516262,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33588,6516263,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33589,6516295,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33590,6516297,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33591,6516337,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33592,6516389,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33593,6516421,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33594,6516422,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33595,6516466,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33596,6516467,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33597,6516560,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33598,6516716,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33599,6516747,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33600,6516817,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33601,6516820,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33602,6516823,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33603,6516825,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33604,6516827,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33605,6516829,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33606,6516831,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33607,6516833,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33608,6516835,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33609,6516836,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33610,6516837,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33611,6516839,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33612,6516841,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33613,6516842,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33614,6516843,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33615,6516845,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33616,6516848,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33617,6516849,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33618,6516851,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33619,6516852,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33620,6516853,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33621,6516854,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33622,6516856,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33623,6516858,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33624,6516860,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33625,6516861,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33626,6516863,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33627,6516904,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33628,6516906,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33629,6516931,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33630,6516948,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33631,6517012,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33632,6517030,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33633,6517145,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33634,6517209,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33635,6517268,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33636,6517279,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33637,6517292,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33638,6517737,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33639,6517799,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33640,6517806,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33641,6517813,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33642,6517868,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33643,6517873,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33644,6518044,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33645,6518097,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33646,6518155,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33647,6518429,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33648,6518597,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33649,6518732,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33650,6518772,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33651,6518831,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33652,6518980,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33653,6519025,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33654,6519026,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33655,6519027,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33656,6519040,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33657,6519041,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33658,6519042,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33659,6519101,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33660,6519102,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33661,6519103,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33662,6519104,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33663,6519105,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33664,6519106,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33665,6519107,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33666,6519108,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33667,6519109,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33668,6519110,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33669,6519127,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33670,6519134,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33671,6519169,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33672,6519172,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33673,6519174,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33674,6519175,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33675,6519176,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33676,6519178,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33677,6519220,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33678,6519308,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33679,6519324,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33680,6519325,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33681,6519396,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33682,6519463,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33683,6519464,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33684,6519525,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33685,6519527,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33686,6519548,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33687,6519549,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33688,6519684,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33689,6519685,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33690,6519692,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33692,6519868,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33693,6520039,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33694,6520040,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33695,6520042,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33696,6520085,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33697,6520086,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33698,6520161,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33699,6520412,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33700,6520413,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33701,6520541,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33702,6520568,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33703,6520746,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33704,6520817,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33705,6520923,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33706,6522377,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33707,6525639,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33708,6529944,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33709,6535068,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33710,6535383,NCI60,-,#N/A,,#N/A,#N/A
"3-chlor-6-hydroxy-4-phenylbenzo[4,5]furo[2,3-b]pyridine",6538870,NCI60,"3-chlor-6-hydroxy-4-phenylbenzo[4,5]furo[2,3-b]pyridine",#N/A,,#N/A,#N/A
"3-bromo-6-hydroxy-4-phenylbenzo[4,5]furo[2,3-b]pyridine",6538871,NCI60,"3-bromo-6-hydroxy-4-phenylbenzo[4,5]furo[2,3-b]pyridine",#N/A,,#N/A,#N/A
gw335962x,6539046,NCI60,gw335962x,#N/A,,#N/A,#N/A
gw280670x,6539047,NCI60,gw280670x,#N/A,,#N/A,#N/A
gw276655x,6539049,NCI60,gw276655x,#N/A,,#N/A,#N/A
gw396574x,6539056,NCI60,gw396574x,#N/A,,#N/A,#N/A
gw352430a,6539060,NCI60,gw352430a,#N/A,,#N/A,#N/A
gw416469x,6539075,NCI60,gw416469x,#N/A,,#N/A,#N/A
gw416981x,6539081,NCI60,gw416981x,#N/A,,#N/A,#N/A
gw300660x,6539085,NCI60,gw300660x,#N/A,,#N/A,#N/A
gw290597x,6539086,NCI60,gw290597x,#N/A,,#N/A,#N/A
gw300657x,6539087,NCI60,gw300657x,#N/A,,#N/A,#N/A
gw301784x,6539089,NCI60,gw301784x,#N/A,,#N/A,#N/A
gw300653x,6539093,NCI60,gw300653x,#N/A,,#N/A,#N/A
gw282536x,6539097,NCI60,gw282536x,#N/A,,#N/A,#N/A
gw279320x,6539099,NCI60,gw279320x,#N/A,,#N/A,#N/A
gw297361x,6539107,NCI60,gw297361x,#N/A,,#N/A,#N/A
gw305178x,6539108,NCI60,gw305178x,#N/A,,#N/A,#N/A
gw810576x,6539361,NCI60,gw810576x,#N/A,,#N/A,#N/A
gw805758x,6539364,NCI60,gw805758x,#N/A,,#N/A,#N/A
gw806290x,6539369,NCI60,gw806290x,#N/A,,#N/A,#N/A
gw811761x,6539382,NCI60,gw811761x,#N/A,,#N/A,#N/A
gw810372x,6539385,NCI60,gw810372x,#N/A,,#N/A,#N/A
gw807982x,6539390,NCI60,gw807982x,#N/A,,#N/A,#N/A
gw819077x,6539397,NCI60,gw819077x,#N/A,,#N/A,#N/A
gw827099x,6539409,NCI60,gw827099x,#N/A,,#N/A,#N/A
gw827105x,6539411,NCI60,gw827105x,#N/A,,#N/A,#N/A
gw827396x,6539412,NCI60,gw827396x,#N/A,,#N/A,#N/A
gw829115x,6539413,NCI60,gw829115x,#N/A,,#N/A,#N/A
gw827106x,6539414,NCI60,gw827106x,#N/A,,#N/A,#N/A
gw828529x,6539417,NCI60,gw828529x,#N/A,,#N/A,#N/A
gw828525x,6539418,NCI60,gw828525x,#N/A,,#N/A,#N/A
gw827102x,6539422,NCI60,gw827102x,#N/A,,#N/A,#N/A
gw829055x,6539424,NCI60,gw829055x,#N/A,,#N/A,#N/A
gw829906x,6539430,NCI60,gw829906x,#N/A,,#N/A,#N/A
gw832467x,6539439,NCI60,gw832467x,#N/A,,#N/A,#N/A
gw833373x,6539440,NCI60,gw833373x,#N/A,,#N/A,#N/A
skf-62604,6539451,NCI60,skf-62604,#N/A,,#N/A,#N/A
sb-376719,6539453,NCI60,sb-376719,#N/A,,#N/A,#N/A
sb-390527,6539466,NCI60,sb-390527,#N/A,,#N/A,#N/A
sb-409514,6539478,NCI60,sb-409514,#N/A,,#N/A,#N/A
sb-390523,6539482,NCI60,sb-390523,#N/A,,#N/A,#N/A
sb-358518,6539487,NCI60,sb-358518,#N/A,,#N/A,#N/A
sb-360741,6539502,NCI60,sb-360741,#N/A,,#N/A,#N/A
sb-333612,6539521,NCI60,sb-333612,#N/A,,#N/A,#N/A
sb-361058,6539522,NCI60,sb-361058,#N/A,,#N/A,#N/A
sb-678557-a,6539558,NCI60,sb-678557-a,#N/A,,#N/A,#N/A
sb-675259-m,6539561,NCI60,sb-675259-m,#N/A,,#N/A,#N/A
sb-686709-a,6539563,NCI60,sb-686709-a,#N/A,,#N/A,#N/A
sb-698596-ac,6539564,NCI60,sb-698596-ac,#N/A,,#N/A,#N/A
sb-711237,6539567,NCI60,sb-711237,#N/A,,#N/A,#N/A
sb-725317,6539574,NCI60,sb-725317,#N/A,,#N/A,#N/A
sb-732881,6539584,NCI60,sb-732881,#N/A,,#N/A,#N/A
sb-743899,6539592,NCI60,sb-743899,#N/A,,#N/A,#N/A
sb-732941,6539593,NCI60,sb-732941,#N/A,,#N/A,#N/A
sb-738482,6539597,NCI60,sb-738482,#N/A,,#N/A,#N/A
sb-741905,6539598,NCI60,sb-741905,#N/A,,#N/A,#N/A
sb-742864,6539599,NCI60,sb-742864,#N/A,,#N/A,#N/A
sb-742865,6539600,NCI60,sb-742865,#N/A,,#N/A,#N/A
sb-735465,6539603,NCI60,sb-735465,#N/A,,#N/A,#N/A
sb-735467,6539607,NCI60,sb-735467,#N/A,,#N/A,#N/A
sb-739452,6539611,NCI60,sb-739452,#N/A,,#N/A,#N/A
sb-739245-ac,6539614,NCI60,sb-739245-ac,#N/A,,#N/A,#N/A
gw831091x,6539617,NCI60,gw831091x,#N/A,,#N/A,#N/A
gw831090x,6539620,NCI60,gw831090x,#N/A,,#N/A,#N/A
gw824645a,6539626,NCI60,gw824645a,#N/A,,#N/A,#N/A
gw819230x,6539751,NCI60,gw819230x,#N/A,,#N/A,#N/A
gw578748x,6539823,NCI60,gw578748x,#N/A,,#N/A,#N/A
gw644007x,6539824,NCI60,gw644007x,#N/A,,#N/A,#N/A
gw643971x,6539825,NCI60,gw643971x,#N/A,,#N/A,#N/A
